  f12 in 2-D, instance 14: FEs=40 with 0 restarts, fbest-ftarget=2.7536e+02, elapsed time [h]: 0.00
  f12 in 2-D, instance 15: FEs=40 with 0 restarts, fbest-ftarget=2.4393e+04, elapsed time [h]: 0.00
      date and time: 2021    4    4   16   23   21
  f13 in 2-D, instance 1: FEs=40 with 0 restarts, fbest-ftarget=1.2442e+02, elapsed time [h]: 0.00
  f13 in 2-D, instance 2: FEs=40 with 0 restarts, fbest-ftarget=6.2500e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 3: FEs=40 with 0 restarts, fbest-ftarget=1.2242e+02, elapsed time [h]: 0.00
  f13 in 2-D, instance 4: FEs=40 with 0 restarts, fbest-ftarget=1.4299e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 5: FEs=40 with 0 restarts, fbest-ftarget=6.5991e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 6: FEs=40 with 0 restarts, fbest-ftarget=2.5616e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 7: FEs=40 with 0 restarts, fbest-ftarget=8.8725e+00, elapsed time [h]: 0.00
  f13 in 2-D, instance 8: FEs=40 with 0 restarts, fbest-ftarget=4.4932e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 9: FEs=40 with 0 restarts, fbest-ftarget=3.0800e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 10: FEs=40 with 0 restarts, fbest-ftarget=1.4418e+02, elapsed time [h]: 0.00
  f13 in 2-D, instance 11: FEs=40 with 0 restarts, fbest-ftarget=5.3093e+00, elapsed time [h]: 0.00
  f13 in 2-D, instance 12: FEs=40 with 0 restarts, fbest-ftarget=1.4029e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 13: FEs=40 with 0 restarts, fbest-ftarget=2.0880e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 14: FEs=40 with 0 restarts, fbest-ftarget=3.8597e+01, elapsed time [h]: 0.00
  f13 in 2-D, instance 15: FEs=40 with 0 restarts, fbest-ftarget=1.9912e+01, elapsed time [h]: 0.00
      date and time: 2021    4    4   16   23   21
  f14 in 2-D, instance 1: FEs=40 with 0 restarts, fbest-ftarget=1.5165e+00, elapsed time [h]: 0.00
  f14 in 2-D, instance 2: FEs=40 with 0 restarts, fbest-ftarget=7.9820e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 3: FEs=40 with 0 restarts, fbest-ftarget=2.1562e+00, elapsed time [h]: 0.00
  f14 in 2-D, instance 4: FEs=40 with 0 restarts, fbest-ftarget=7.2796e-02, elapsed time [h]: 0.00
  f14 in 2-D, instance 5: FEs=40 with 0 restarts, fbest-ftarget=2.9544e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 6: FEs=40 with 0 restarts, fbest-ftarget=4.3880e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 7: FEs=40 with 0 restarts, fbest-ftarget=3.9734e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 8: FEs=40 with 0 restarts, fbest-ftarget=4.9716e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 9: FEs=40 with 0 restarts, fbest-ftarget=4.9688e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 10: FEs=40 with 0 restarts, fbest-ftarget=1.7159e+00, elapsed time [h]: 0.00
  f14 in 2-D, instance 11: FEs=40 with 0 restarts, fbest-ftarget=9.4522e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 12: FEs=40 with 0 restarts, fbest-ftarget=1.8782e+00, elapsed time [h]: 0.00
  f14 in 2-D, instance 13: FEs=40 with 0 restarts, fbest-ftarget=7.7550e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 14: FEs=40 with 0 restarts, fbest-ftarget=7.8801e-01, elapsed time [h]: 0.00
  f14 in 2-D, instance 15: FEs=40 with 0 restarts, fbest-ftarget=5.0459e-01, elapsed time [h]: 0.00
      date and time: 2021    4    4   16   23   21
  f15 in 2-D, instance 1: FEs=40 with 0 restarts, fbest-ftarget=7.2577e+00, elapsed time [h]: 0.00
  f15 in 2-D, instance 2: FEs=40 with 0 restarts, fbest-ftarget=6.7143e+00, elapsed time [h]: 0.00
  f15 in 2-D, instance 3: FEs=40 with 0 restarts, fbest-ftarget=8.3890e+00, elapsed time [h]: 0.00
  f15 in 2-D, instance 4: FEs=40 with 0 restarts, fbest-ftarget=8.9554e+00, elapsed time [h]: 0.00
  f15 in 2-D, instance 5: FEs=40 with 0 restarts, fbest-ftarget=1.8931e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 6: FEs=40 with 0 restarts, fbest-ftarget=2.2206e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 7: FEs=40 with 0 restarts, fbest-ftarget=8.9303e+00, elapsed time [h]: 0.00
  f15 in 2-D, instance 8: FEs=40 with 0 restarts, fbest-ftarget=6.8390e+00, elapsed time [h]: 0.00
  f15 in 2-D, instance 9: FEs=40 with 0 restarts, fbest-ftarget=2.4283e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 10: FEs=40 with 0 restarts, fbest-ftarget=1.1585e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 11: FEs=40 with 0 restarts, fbest-ftarget=1.2959e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 12: FEs=40 with 0 restarts, fbest-ftarget=1.0404e+01, elapsed time [h]: 0.00
  f15 in 2-D, instance 13: FEs=40 with 0 restarts, fbest-ftarget=2.0987e+01, elapsed time [h]: 0.00
